id,created_at,text - utf-8,simplified
1526822377551581184,2022-05-18 07:09:56+00:00,b'Nakita ko lang \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/xLEuc91tPq',Nakita ko lang
1526822371549540353,2022-05-18 07:09:55+00:00,"b""Can't be exiled by sadness \xf0\x9f\x91\x8c\xf0\x9f\x8f\xbb https://t.co/Ik5QMfke6m""",Can t be exiled by sadness
1526822371440488448,2022-05-18 07:09:54+00:00,b'Bed weather.. \nWala ba talagang malalandi sa boracay? https://t.co/pgMB31Vqrr',Bed weather Wala ba talagang malalandi sa boracay
1526822355259260928,2022-05-18 07:09:51+00:00,b'Wala tlga ko future sa FPS and fighting games \xf0\x9f\xa4\xa3',Wala tlga ko future sa FPS and fighting games
1526822355145998336,2022-05-18 07:09:51+00:00,"b'Kape sa tag ulan, pero yung malamig \xf0\x9f\x99\x83'",Kape sa tag ulan pero yung malamig
1526822353484668928,2022-05-18 07:09:50+00:00,b'@urnvmbtch @yourselestiaaa Mwah',Mwah
1526822325559042049,2022-05-18 07:09:44+00:00,"b""Travie's Halo-Halo cravings satisfied \xf0\x9f\xa4\xad\xf0\x9f\xa4\xad\xf0\x9f\xa4\xad \n#alterdipolog #alterdapitan https://t.co/IXxeQjfK7j""",Travie s Halo Halo cravings satisfied alterdipolog alterdapitan
1526822292483112960,2022-05-18 07:09:36+00:00,b'@NatsiMe23 true babe \xf0\x9f\xa4\xa1\xf0\x9f\xa4\xa1\xf0\x9f\xa4\xa1',true babe
1526822291132547072,2022-05-18 07:09:35+00:00,b'@dost_pagasa  Tag-julan na po vuhh?!',pagasa Tag julan na po vuhh
1526822285654360066,2022-05-18 07:09:34+00:00,b'Ngaa gna kadlawan nila story ko sa IG mn?? Hahaha',Ngaa gna kadlawan nila story ko sa IG mn Hahaha
1526822280667758592,2022-05-18 07:09:33+00:00,"b'PUTANGINA sobrang payat ko dati parang gago. Ayon nga sa kasabihan, ""Di pa uso vitamins dati."" sheeesh \xf0\x9f\x92\x80 tas yung hairstyle ko?! bwisit na Catholic school yan. double sheesh. https://t.co/TbEn6erOLj'",PUTANGINA sobrang payat ko dati parang gago Ayon nga sa kasabihan Di pa uso vitamins dati sheeesh tas yung hairstyle ko bwisit na Catholic school yan double sheesh
1526822268508045312,2022-05-18 07:09:30+00:00,b'Bahala ka na nga',Bahala ka na nga
1526822268117975047,2022-05-18 07:09:30+00:00,b'@james_pagulayan Iba naman dollll',pagulayan Iba naman dollll
1526822259502919680,2022-05-18 07:09:28+00:00,b'I think UP. Final na. Blocking ni Sotomil very crucial. Chz https://t.co/0MUQxe5kt3',I think UP Final na Blocking ni Sotomil very crucial Chz
1526822259314540544,2022-05-18 07:09:28+00:00,b'JUST IN: Dating Pangulo at returning Pampanga Rep. Gloria Macapagal Arroyo nagpahayag ng suporta kay House Majority Leader Martin Romualdez upang maging susunod na House Speaker. @dwiz882 \n\n\xf0\x9f\x93\xb7: Lakas-CMD https://t.co/ZOmRRHmEi8',JUST IN Dating Pangulo at returning Pampanga Rep Gloria Macapagal Arroyo nagpahayag ng suporta kay House Majority Leader Martin Romualdez upang maging susunod na House Speaker Lakas CMD
1526822251865460736,2022-05-18 07:09:26+00:00,b'Meron ba dito place for fun?\xf0\x9f\xa4\xad\xf0\x9f\xa4\xad\xf0\x9f\xa4\xad\n\nGlorietta2 https://t.co/Z6Q18xG51W',Meron ba dito place for fun Glorietta2
1526822211868209152,2022-05-18 07:09:16+00:00,b'ang hirap mag libang bwct',ang hirap mag libang bwct
1526822203274465280,2022-05-18 07:09:14+00:00,b'@rapid_silence Thankie \xe2\x98\xba\xef\xb8\x8f',silence Thankie
1526822198291312640,2022-05-18 07:09:13+00:00,"b'@IndayMissM DYK: That one of the very 1sr directives given by PRRD during his 1st Cabinet Meeting on June 30, 2016 is to \xe2\x80\x9cCHANGE THE POLICY THAT PRIORITIZES THE PRESIDENTIAL PLANE FOR TAKE-OFFS AND LANDINGS\xe2\x80\x9d, and for the Presidential plane to \xe2\x80\x9cQUEUE IN THE SAME MANNER AS REGULAR FLIGHTS\xe2\x80\x9d? https://t.co/TbtxypMjdt'",DYK That one of the very 1sr directives given by PRRD during his 1st Cabinet Meeting on June 30 2016 is to CHANGE THE POLICY THAT PRIORITIZES THE PRESIDENTIAL PLANE FOR TAKE OFFS AND LANDINGS and for the Presidential plane to QUEUE IN THE SAME MANNER AS REGULAR FLIGHTS
1526822196030496770,2022-05-18 07:09:13+00:00,"b'Hay no midweek breather, I think. \xf0\x9f\xa5\xba'",Hay no midweek breather I think
1526822192499269632,2022-05-18 07:09:12+00:00,b'@nico_montellano Retrieve orig fb acct muna hahaha',montellano Retrieve orig fb acct muna hahaha
1526822186186465280,2022-05-18 07:09:10+00:00,b'Galit na galit naman yung ulaaan',Galit na galit naman yung ulaaan
1526822163525009408,2022-05-18 07:09:05+00:00,b'Hawl awn i look saur skinny here pala \xf0\x9f\xa5\xb0 https://t.co/NdLoavRARK',Hawl awn i look saur skinny here pala
1526822160844484608,2022-05-18 07:09:04+00:00,b'Congrats po @jillrobredo \xf0\x9f\x92\x97\xf0\x9f\x92\x97\xf0\x9f\x92\x97 https://t.co/0k172B8iMM',Congrats po
1526822151524716544,2022-05-18 07:09:02+00:00,b'@Papi_pup2020 Hahahaha \xf0\x9f\x98\x86 yup yup \xf0\x9f\x99\x88\xf0\x9f\x99\x8f\xe2\x9d\xa4\xef\xb8\x8f',pup2020 Hahahaha yup yup
1526822148958224386,2022-05-18 07:09:01+00:00,b'Naka install nlg kog fb ug balik tungod aning ptc \xf0\x9f\xa5\xb4',Naka install nlg kog fb ug balik tungod aning ptc
1526822143601692672,2022-05-18 07:09:00+00:00,"b'@Siwaray_ine @allperez2022 @angelsamson23_ @bongbongmarcos Mas ok na siguro ung ma- ""ACM"" kesa sa amoy sibuyas \xf0\x9f\x99\x84'",ine Mas ok na siguro ung ma ACM kesa sa amoy sibuyas
1526822141835939841,2022-05-18 07:09:00+00:00,b'ang hirap ng sitwasyon nato :&lt;&lt;',ang hirap ng sitwasyon nato lt lt
1526822134508425216,2022-05-18 07:08:58+00:00,b'@theadtan Just think it over yap',Just think it over yap
1526822133816389632,2022-05-18 07:08:58+00:00,b'I feel like this is UP Cebu. https://t.co/qBRemBqAVY',I feel like this is UP Cebu
1526822124119203840,2022-05-18 07:08:56+00:00,b'@EvsInThailand Hahahaha inggit ka na naman charis haha',Hahahaha inggit ka na naman charis haha
1526822119044091904,2022-05-18 07:08:54+00:00,b'@panget05ako aw \xf0\x9f\x98\x8b',aw
1526822115223437312,2022-05-18 07:08:53+00:00,"b'sakit sa part na ""you are my first love but she\'ll be my last, the one to have my last name \xf0\x9f\xa5\xba'",sakit sa part na you are my first love but she ll be my last the one to have my last name
1526822105199038464,2022-05-18 07:08:51+00:00,b'Gagi angas nung mga code',Gagi angas nung mga code
1526822085339025408,2022-05-18 07:08:46+00:00,b'never again',never again
1526822082071261184,2022-05-18 07:08:46+00:00,b'gun-the\xe2\x9d\xa4\xef\xb8\x8f https://t.co/Jo9oGuos3z',gun the
1526822081337638912,2022-05-18 07:08:45+00:00,b'Ay nakakatamad yung weather \xf0\x9f\xa5\xb4 wala akong matapos na gawain',Ay nakakatamad yung weather wala akong matapos na gawain
